Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Avg_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Education_Encoded,Marital_Divorced,Marital_Married,Marital_Other,Marital_Single,Marital_Together,Marital_Widowed,Channel_Catalog,Channel_None,Channel_Store,Channel_Web,Product_FishProducts,Product_Fruits,Product_GoldProds,Product_MeatProducts,Product_SweetProducts,Product_Wines,Customer_Activity_Level_Encoded,MntWines_log,MntFruits_log,MntMeatProducts_log,MntFishProducts_log,MntSweetProducts_log,MntGoldProds_log,NumDealsPurchases_log,NumWebPurchases_log,NumCatalogPurchases_log,Total_Spending_log,Total_Campaign_Acceptance_log,Avg_Spending_Per_Purchase_log
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,5077,0,1,1617,25,1,64.68,15,0.12,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,1.3862943611198906,2.1972245773362196,2.3978952727983707,7.388946097618437,0.6931471805599453,4.184794465144173
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,4527,2,3,27,6,0,4.5,6,0.3333333333333333,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.6931471805599453,3.332204510175204,0.0,1.7047480922384253
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,4726,0,2,776,21,0,36.95238095238095,12,0.047619047619047616,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.6931471805599453,2.1972245773362196,1.0986122886681098,6.655440350367647,0.0,3.6363322410667918
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,4553,1,3,53,8,0,6.625,8,0.25,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,3.9889840465642745,0.0,2.031432322493475
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,4575,1,3,422,19,0,22.210526315789473,10,0.2631578947368421,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,1.791759469228055,1.791759469228055,1.3862943611198906,6.0473721790462776,0.0,3.1446058962804053
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,4707,1,3,716,22,0,32.54545454545455,12,0.09090909090909091,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,1.0986122886681098,1.9459101490553132,1.6094379124341003,6.57507584059962,0.0,3.512901371242157
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,5007,1,2,590,21,0,28.095238095238095,13,0.19047619047619047,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.6094379124341003,2.0794415416798357,1.3862943611198906,6.3818160174060985,0.0,3.370574521448172
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,4831,1,3,169,10,0,16.9,12,0.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681098,1.6094379124341003,0.0,5.135798437050262,0.0,2.884800712846709
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,4802,1,3,46,6,1,7.666666666666667,12,0.16666666666666666,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.0,3.8501476017100584,0.6931471805599453,2.1594842493533726
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,4522,2,4,49,2,1,24.5,21,0.5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.6931471805599453,0.0,3.912023005428146,0.6931471805599453,3.2386784521643803
51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,4640,1,3,19,4,0,4.75,8,0.25,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,2.995732273553991,0.0,1.749199854809259
7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,5007,0,2,61,6,0,10.166666666666666,10,0.16666666666666666,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,0.6931471805599453,1.0986122886681098,0.0,4.127134385045092,0.0,2.412933150162911
63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,4640,0,1,1102,16,0,68.875,5,0.0625,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,0.6931471805599453,1.3862943611198906,1.6094379124341003,7.005789019253503,0.0,4.246707931475263
